Metric,Baseline,TransactionCost
mu_ann_g,0.11222546535755315,0.1214267921388678
mu_ann_n,0.10970544732417085,0.12123362417645232
vol_ann_g,0.1609610114760293,0.16078214582254044
vol_ann_n,0.1609582419654918,0.16075928889591676
sr_ann_g,0.6972214223086316,0.7552255974546439
sr_ann_n,0.6815770723172463,0.7541313787158188
mdd_n,-0.5761718420852342,-0.5513471349556578
hit_g,0.6304347826086957,0.644927536231884
hit_n,0.6304347826086957,0.644927536231884
avg_to,0.08400060111274335,0.006438932080516274
avg_cost,0.00021000150278185833,1.6097330201290686e-05
delta_sr,0.01564434999138531,0.0010942187388250924
