candidate,weight,weight_trade,weight_sdf
port_V16,0.06639453772090462,0.06639453772090462,2.1507798953631188
port_V19,0.06343808617206335,0.06343808617206335,2.0550088158265427
port_V1,0.04532828108060744,0.04532828108060744,1.4683610879158722
port_V13,0.04393629030531629,0.04393629030531629,1.4232690385275306
port_V9,0.03750723006589304,0.03750723006589304,1.215006522006141
port_V3,0.03627569120218729,0.03627569120218729,1.1751121403395193
port_V31,0.03562600324514161,0.03562600324514161,1.154066195232601
port_V28,0.03134520570549934,0.03134520570549934,1.0153943466072644
port_V20,0.029693647292937008,0.029693647292937008,0.9618938817845611
port_V30,0.026343282856954132,0.026343282856954132,0.8533624164200128
port_V29,0.02608122283052697,0.02608122283052697,0.844873262710002
port_V7,0.02027943685787283,0.02027943685787283,0.6569306238194624
port_V21,0.015140612754467014,0.015140612754467014,0.49046392419617835
port_V12,0.0066505834738255516,0.0066505834738255516,0.21543852429647306
port_V11,0.0005248971881995944,0.0005248971881995944,0.017003481886686406
port_V18,-0.0014755147641265414,-0.0014755147641265414,-0.047797719495163024
port_V32,-0.004543487655960546,-0.004543487655960546,-0.14718141342211158
port_V10,-0.0048992044344552035,-0.0048992044344552035,-0.15870447724470613
port_V22,-0.01275409554097691,-0.01275409554097691,-0.41315525666257763
port_V27,-0.01288523840429126,-0.01288523840429126,-0.41740348917565756
port_V15,-0.014503116091326781,-0.014503116091326781,-0.46981290299008616
port_V24,-0.01646959132960998,-0.01646959132960998,-0.5335147608900207
port_V5,-0.017195436030852013,-0.017195436030852013,-0.5570277221090529
port_V23,-0.03285609802800951,-0.03285609802800951,-1.0643380841926262
port_V14,-0.034661694252246474,-0.034661694252246474,-1.1228284388443417
port_V17,-0.0378542821879355,-0.0378542821879355,-1.2262489035687587
port_V8,-0.03786399628387814,-0.03786399628387814,-1.2265635812963587
port_V2,-0.04590309167524316,-0.04590309167524316,-1.486981461112551
port_V26,-0.046307756402646186,-0.046307756402646186,-1.500090141283194
port_V6,-0.05449278259403201,-0.05449278259403201,-1.765235292974045
port_V4,-0.06989020314893896,-0.06989020314893896,-2.2640182306481154
port_V25,-0.07087940242307486,-0.07087940242307486,-2.2960622810226003
